,Domain_Name,Org_Number,Company,Reg_Date,Website
219,anker.oslo.no,994882813,ANKER STI HOLDING AS,2009-12-15,anker.oslo.no
220,anker.oslo.no,896203452,KØBENHAVNGATA 10 AS,2010-11-18,anker.oslo.no
221,anker.oslo.no,991797602,SANDAKERVEIEN 76 AS,2007-12-22,anker.oslo.no
222,anker.oslo.no,966891750,STIFTELSEN ANKER STUDENTBOLIGER OG HOTEL (ANKER STI),1995-02-20,anker.oslo.no
1145,kyrkja.tokke.no,976991893,"EIDSBORG, MO OG SKAFSÅ SOKN",1997-01-27,kyrkja.tokke.no
1146,kyrkja.tokke.no,976991850,HØYDALSMO OG LÅRDAL SOKN,1997-01-27,kyrkja.tokke.no
1147,kyrkja.tokke.no,976991907,TOKKE KYRKJELEGE FELLESRÅD,1997-01-27,kyrkja.tokke.no
8,nordkraft.no,920813674,ARCTIC RENEWABLES AS,2018-05-03,nordkraft.no
9,nordkraft.no,928657213,NORDKRAFT MAGASIN AS,1995-03-12,nordkraft.no
10,nordkraft.no,992942703,SKOGNES OG STORDALEN KRAFTLAG AS,2008-08-04,nordkraft.no
11,nordkraft.no,986947884,NORDKRAFT AS,2004-06-08,nordkraft.no
12,nordkraft.no,913023692,NORDKRAFT EIENDOM AS,2014-01-06,nordkraft.no
13,nordkraft.no,927661055,NORDKRAFT INDUSTRINETT AS,2021-09-04,nordkraft.no
14,nordkraft.no,916116993,NORDKRAFT PRODUKSJON AS,2015-10-22,nordkraft.no
15,nordkraft.no,986055959,NORDKRAFT PROSJEKT AS,2003-09-29,nordkraft.no
16,nordkraft.no,912432181,NORDKRAFT MAGASIN 2 AS,1995-03-12,nordkraft.no
17,nordkraft.no,998072867,MYGLAND KRAFT AS,2012-03-21,nordkraft.no
18,nordkraft.no,914341183,NORDIC POWER AS,2014-10-22,nordkraft.no
19,nordkraft.no,993843865,NORDIC POWER TORSNES AS,2009-03-17,nordkraft.no
20,nordkraft.no,923833323,RUSSVIK KRAFT AS,2019-11-16,nordkraft.no
22,nordlaendingernes-forening.no,983712673,NORDLÆNDINGERNES FORENING,2001-11-07,nordlaendingernes-forening.no
23,nordlaendingernes-forening.no,943753075,PETTER DASS' OG FREDRIKKE TØNDER- OLSENS STIPENDIEFOND,1997-02-22,nordlaendingernes-forening.no
33,nordnesgruppen.no,987027738,BRYGGEN AS,2004-08-31,nordnesgruppen.no
34,nordnesgruppen.no,998293847,NORDNES EIENDOM AS,2012-04-24,nordnesgruppen.no
35,nordnesgruppen.no,914524822,NORDNES KYSTFISKE AS,2015-02-09,nordnesgruppen.no
36,nordnesgruppen.no,981548108,TORG INVEST AS,2000-02-09,nordnesgruppen.no
37,nordnesgruppen.no,979397720,NORDNES AS,1997-12-10,nordnesgruppen.no
38,nordnesgruppen.no,990568588,NORDNES INDUSTRI OG MEKANISKE AS,2006-12-04,nordnesgruppen.no
47,nordstrand-osteopati.no,989837842,FRAUKE LINDÅS NORDSTRAND OSTEPATIKLINIKK,2006-06-01,nordstrand-osteopati.no
48,nordstrand-osteopati.no,981839285,NORDSTRAND OSTEOPATIKLINIKK Ørjan Lindås,2000-04-12,nordstrand-osteopati.no
54,nordvik.no,981921143,GLOMFJORD VERKSTEDBYGG AS,2000-07-17,nordvik.no
55,nordvik.no,946549770,NORDVIK AS,1995-02-19,nordvik.no
58,nored.no,971278323,NORSK REDAKTØRFORENING,1995-02-20,nored.no
59,nored.no,997706714,VESTAFJELSKE REDAKTØRFORENING,2011-12-21,nored.no
60,noredu.no,998191459,NORLIGHTS INTERNATIONAL SCHOOL OSLO AS,2012-04-02,noredu.no
61,noredu.no,996176150,NORLIGHTS MONTESSORIBARNEHAGE DRAMMEN AS,2010-11-22,noredu.no
62,norefjell-golf.no,976800354,NOREFJELL GOLFBANE AS,1996-10-11,norefjell-golf.no
63,norefjell-golf.no,979159420,NOREFJELL GOLFKLUBB,1997-08-25,norefjell-golf.no
74,norgesfor.no,975871096,NORGESFÔR AS,1995-11-13,norgesfor.no
75,norgesfor.no,913980484,OTTADALEN MØLLE SA,1995-02-19,norgesfor.no
100,norplay.no,991530320,NORPLAY BREDE JOHANNES KARLSEN,2007-08-09,norplay.no
101,norplay.no,999541240,NORPLAY AS,2013-01-17,norplay.no
108,norsirk.no,919041579,ELRETUR AS,2017-06-01,norsirk.no
109,norsirk.no,979736355,NORSIRK AS,1998-04-20,norsirk.no
