Domain Name;Company Name;VAT # / Org No
nordiskhundemassasjeskole  ;NORDISK HUNDEMASSASJE SKOLE AS;992864265
nordisktrygghet  ;NORDISK TRYGGHET JACEK BOROWIAK;918575677
nordiwa  ;NORWEGIAN WATER BA;986273026
nordix  ;NORDIX DATA AS;864133312
nordkak  ;NORDKAK AS;979765991
kirken  rdkapp  ;;
nordkapp-boats  ;Nordkapp Boats AS;958204434
nordkappauto  ;NORDKAPP AUTO AS;979703090
nordkappcamping  ;;
nordkappcaravancamp  ;;
nordkappfilmfestival  ;;
nordkapphavn  ;;
nordkapplandet  ;;
nordkappmuseet  ;;
nordkisa  ;;
nordkkk  ;;
nordkontakt  ;;
nordkraft  ;;
nordkraftarena  ;;
nordkraftnett  ;;
nordkynvekst  ;;
nordlaendingernes-forening  ;;
nordland-akademi  ;;
nordland-betongelement  ;;
nordlandbetong  ;;
nordlandet  ;;
nordlandnasjonalparksenter  ;;
nordlandsbuss  ;;
nordlandsforskning  ;;
nordlandsmuseet  ;;
nordlandsnatur  ;;
nordlandsnaturen  ;;
nordlandsnett  ;;
nordlandssykehuset  ;;
nordlandturselskap  ;;
nordli-totakt  ;;
nordlidata  ;;
nordlie-auto  ;;
nordluxgroup  ;;
nordlysbadet  ;;
nordlysfestivalen  ;;
nordlyshytter  ;;
nordlyskatedral  ;;
nordlyslab  ;;
nordlysmat  ;;
nordlystrafikksenter  ;;
nordma  ;;
nordmarin  ;;
nordmarkarundt  ;;
nordmarkstravern  ;;
nordmek  ;;
nordnes-bataillon  ;;
nordnes-revisjon  ;;
nordnes-verksteder  ;;
nordnesgruppen  ;;
nordnesrepublikken  ;;
nordnorgesguiden  ;;
nordnorsk-pensjonistskole  ;;
nordnorskbygg  ;;
nordnorskklatreskole  ;;
nordnorskviseforum  ;;
nordocks  ;;
nordoest  ;;
nordosterdalsmuseet  ;;
nordpaafjellhotell  ;;
nordplan  ;;
nordpolen  ;;
nordpremie  ;;
nordre-ekre  ;;
nordregate  ;;
nordregn  ;;
nordreisail  ;;
nordreisasokn  ;;
nordrelandregnskap  ;;
nordrenett  ;;
nordresande  ;;
nordreskoyenhovedgard  ;;
nordrevann  ;;
nordrill  ;;
nordsaltenmc  ;;
nordseterutvikling  ;;
nordsetmoen  ;;
nordsjokjokken  ;;
nordsjorittet  ;;
nordsjovegen  ;;
nordskogensag  ;;
nordskotbrygge  ;;
nordsteam2008  ;;
nordsti  ;;
nordstrand-dyreklinikk  ;;
nordstrand-osteopati  ;;
nordstrand-regnskap  ;;
nordstrandbygg  ;;
nordstrandkulturskole  ;;
nordtolk  ;;
nordtrac  ;;
nordtromsfuglehundklubb  ;;
nordtromsportalen  ;;
nordtromsror  ;;
nordtrondelagteater  ;;
nordvestvinduet  ;;
nordvik  ;;
nordvik-ikt  ;;
norea  ;;
noreatv  ;;
noreauto  ;;
norecopa  ;;
nored  ;;
noredu  ;;
norefjell-golf  ;;
norefjellhytta  ;;
norefjellskiogspa  ;;
noremi  ;;
norena  ;;
norenco  ;;
noreoguvdalbibliotek  ;;
nores  ;;
norfag  ;;
norfakta  ;;
norfersk  ;;
norfilm  ;;
norfo  ;;
norfolier  ;;
norfra  ;;
norganic  ;;
norgebygges  ;;
norgei3d  ;;
norgeodesi  ;;
norges-birokterlag  ;;
norges-ferie  ;;
norges-linforening  ;;
norges-tehus  ;;
norgesbakeriene  ;;
norgesbanken  ;;
norgesbooking  ;;
norgeselektro  ;;
norgeseliten  ;;
norgesfilm  ;;
norgesfor  ;;
norgesfredsrad  ;;
norgesgass  ;;
