,Domain_Name,Org_Number,Company,Reg_Date,Website
0,nordix.no,864133312,NORDIX DATA AS,1995-02-19,nordix.no
1,kirken.nordkapp.no,977001706,NORDKAPP SOKN,1997-01-27,kirken.nordkapp.no
2,nordkapp-boats.no,958204434,FRYDENBØ BOATS AS,1995-02-19,nordkapp-boats.no
3,nordkappauto.no,979703090,NORDKAPP AUTO AS,1998-03-24,nordkappauto.no
4,nordkappcamping.no,954824209,NORDKAPP CAMPING AS,1995-02-19,nordkappcamping.no
5,nordkappcaravancamp.no,974387905,NORDKAPP CARAVANCAMP AS,1995-03-31,nordkappcaravancamp.no
6,nordkkk.no,990545359,NORD KANO OG KAJAKK KLUBB,2006-12-14,nordkkk.no
7,nordkontakt.no,946951323,NORDKONTAKT AS,1995-03-12,nordkontakt.no
8,nordkraft.no,920813674,ARCTIC RENEWABLES AS,2018-05-03,nordkraft.no
9,nordkraft.no,928657213,NORDKRAFT MAGASIN AS,1995-03-12,nordkraft.no
10,nordkraft.no,992942703,SKOGNES OG STORDALEN KRAFTLAG AS,2008-08-04,nordkraft.no
11,nordkraft.no,986947884,NORDKRAFT AS,2004-06-08,nordkraft.no
12,nordkraft.no,913023692,NORDKRAFT EIENDOM AS,2014-01-06,nordkraft.no
13,nordkraft.no,927661055,NORDKRAFT INDUSTRINETT AS,2021-09-04,nordkraft.no
14,nordkraft.no,916116993,NORDKRAFT PRODUKSJON AS,2015-10-22,nordkraft.no
15,nordkraft.no,986055959,NORDKRAFT PROSJEKT AS,2003-09-29,nordkraft.no
16,nordkraft.no,912432181,NORDKRAFT MAGASIN 2 AS,1995-03-12,nordkraft.no
17,nordkraft.no,998072867,MYGLAND KRAFT AS,2012-03-21,nordkraft.no
18,nordkraft.no,914341183,NORDIC POWER AS,2014-10-22,nordkraft.no
19,nordkraft.no,993843865,NORDIC POWER TORSNES AS,2009-03-17,nordkraft.no
20,nordkraft.no,923833323,RUSSVIK KRAFT AS,2019-11-16,nordkraft.no
21,nordkynvekst.no,976261356,NORDKYN VEKST AS,1996-04-09,nordkynvekst.no
22,nordlaendingernes-forening.no,983712673,NORDLÆNDINGERNES FORENING,2001-11-07,nordlaendingernes-forening.no
23,nordlaendingernes-forening.no,943753075,PETTER DASS' OG FREDRIKKE TØNDER- OLSENS STIPENDIEFOND,1997-02-22,nordlaendingernes-forening.no
24,nordland-akademi.no,971477687,STIFTELSEN NORDLAND AKADEMI FOR KUNST OG VITENSKAP,1995-03-12,nordland-akademi.no
25,nordlandet.no,983256325,IL NORDLANDET,2001-12-15,nordlandet.no
26,nordlandsforskning.no,871483752,STIFTELSEN NORDLANDSFORSKNING,1995-02-20,nordlandsforskning.no
27,nordlandsnaturen.no,987715170,STIFTELSEN NORDLAND NASJONALPARKSENTER,2005-04-11,nordlandsnaturen.no
28,nordlandssykehuset.no,983974910,NORDLANDSSYKEHUSET HF,2001-12-21,nordlandssykehuset.no
29,nordlandturselskap.no,925408735,NORDLAND TURSELSKAP AS,2020-08-18,nordlandturselskap.no
30,nordlidata.no,992136294,NORDLIDATA,2008-01-21,nordlidata.no
31,nordlysfestivalen.no,954830098,NORDLYSFESTIVALEN TROMSØ,1995-02-19,nordlysfestivalen.no
32,nordnes-bataillon.no,983559557,NORDNÆS BATAILLON,2001-10-02,nordnes-bataillon.no
33,nordnesgruppen.no,987027738,BRYGGEN AS,2004-08-31,nordnesgruppen.no
34,nordnesgruppen.no,998293847,NORDNES EIENDOM AS,2012-04-24,nordnesgruppen.no
35,nordnesgruppen.no,914524822,NORDNES KYSTFISKE AS,2015-02-09,nordnesgruppen.no
36,nordnesgruppen.no,981548108,TORG INVEST AS,2000-02-09,nordnesgruppen.no
37,nordnesgruppen.no,979397720,NORDNES AS,1997-12-10,nordnesgruppen.no
38,nordnesgruppen.no,990568588,NORDNES INDUSTRI OG MEKANISKE AS,2006-12-04,nordnesgruppen.no
39,nordocks.no,979555865,NORDOCKS AS,1998-01-27,nordocks.no
40,nordosterdalsmuseet.no,971445726,NORDØSTERDALSMUSEET,1995-02-20,nordosterdalsmuseet.no
41,nordrelandregnskap.no,934206061,NORDRE LAND REGNSKAP SA,1995-03-12,nordrelandregnskap.no
42,nordrevann.no,961728487,NORDRE AVERØY VANNVERK SA,1995-02-20,nordrevann.no
43,nordrill.no,985722323,NORDRILL AS,2003-05-26,nordrill.no
44,nordsaltenmc.no,986211071,NORD-SALTEN MC KLUBB,2003-11-11,nordsaltenmc.no
45,nordsjorittet.no,983991203,NORDSJØRITTET,2005-10-24,nordsjorittet.no
46,nordsjovegen.no,979861133,NORDSJØVEGEN,1999-11-09,nordsjovegen.no
47,nordstrand-osteopati.no,989837842,FRAUKE LINDÅS NORDSTRAND OSTEPATIKLINIKK,2006-06-01,nordstrand-osteopati.no
48,nordstrand-osteopati.no,981839285,NORDSTRAND OSTEOPATIKLINIKK Ørjan Lindås,2000-04-12,nordstrand-osteopati.no
49,nordstrandbygg.no,992836407,NORDSTRAND BYGG1 AS,2008-06-28,nordstrandbygg.no
50,nordstrandkulturskole.no,990342555,NORDSTRAND KULTURSKOLE AS,2006-10-10,nordstrandkulturskole.no
51,nordtolk.no,912321762,NORD TOLK AS,2013-08-19,nordtolk.no
52,nordtromsfuglehundklubb.no,997934660,NORD TROMS FUGLEHUNDKLUBB,2012-02-09,nordtromsfuglehundklubb.no
53,nordvestvinduet.no,910930540,NORDVESTVINDUET AS,1995-02-19,nordvestvinduet.no
54,nordvik.no,981921143,GLOMFJORD VERKSTEDBYGG AS,2000-07-17,nordvik.no
55,nordvik.no,946549770,NORDVIK AS,1995-02-19,nordvik.no
56,nordvik-ikt.no,989816810,NORDVIK-IKT,2006-05-13,nordvik-ikt.no
57,norecopa.no,992199199,NORECOPA,2008-01-19,norecopa.no
58,nored.no,971278323,NORSK REDAKTØRFORENING,1995-02-20,nored.no
59,nored.no,997706714,VESTAFJELSKE REDAKTØRFORENING,2011-12-21,nored.no
60,noredu.no,998191459,NORLIGHTS INTERNATIONAL SCHOOL OSLO AS,2012-04-02,noredu.no
61,noredu.no,996176150,NORLIGHTS MONTESSORIBARNEHAGE DRAMMEN AS,2010-11-22,noredu.no
62,norefjell-golf.no,976800354,NOREFJELL GOLFBANE AS,1996-10-11,norefjell-golf.no
63,norefjell-golf.no,979159420,NOREFJELL GOLFKLUBB,1997-08-25,norefjell-golf.no
64,noremi.no,998795559,NOREMI SPRÅKTJENESTER EMILIJUS ATMINAS,2012-09-06,noremi.no
65,norena.no,988644846,NORENA PRESENNING AS,2005-09-21,norena.no
66,nores.no,850656452,NORES SA,1995-02-19,nores.no
67,norfakta.no,980888703,NORFAKTA MARKEDSANALYSE AS,1999-07-19,norfakta.no
68,norgeodesi.no,971052201,NORGEODESI AS,1995-02-20,norgeodesi.no
69,norges-linforening.no,875334832,NORGES LINFORENING,1995-09-04,norges-linforening.no
70,norges-tehus.no,993386022,T SELSKAPET AS,2008-12-04,norges-tehus.no
71,norgeselektro.no,987767855,NORGES ELEKTRO AS,2005-02-07,norgeselektro.no
72,norgeseliten.no,879166292,NORGESELITEN AS,1997-08-26,norgeseliten.no
73,norgesfilm.no,884374022,NORGESFILM AS,2002-04-18,norgesfilm.no
74,norgesfor.no,975871096,NORGESFÔR AS,1995-11-13,norgesfor.no
75,norgesfor.no,913980484,OTTADALEN MØLLE SA,1995-02-19,norgesfor.no
76,norgesfredsrad.no,974931966,NORGES FREDSRÅD,1996-03-15,norgesfredsrad.no
77,norgesguidene.no,983462006,NORGESGUIDENE AS,2001-06-27,norgesguidene.no
78,norgesinvestor.no,876290332,HARTVIG WENNBERG AS,1996-04-19,norgesinvestor.no
79,norgeskristnerad.no,971273577,NORGES KRISTNE RÅD,1995-02-20,norgeskristnerad.no
80,norgesmollene.no,885719422,NORGESMØLLENE AS,2003-05-27,norgesmollene.no
81,norgesskolehagelag.no,814948242,NORGES SKOLEHAGELAG,2015-02-19,norgesskolehagelag.no
82,norheimkirke.no,976993438,NORHEIM SOKN,1997-01-27,norheimkirke.no
83,norice.no,815707532,NORICE AS,2015-07-24,norice.no
84,norikon.no,980641104,NORIKON AS,1999-04-08,norikon.no
85,norild.no,916176694,NORILD AS,2015-12-09,norild.no
86,norkjemi.no,987766670,SGI COMPLIANCE AS,2005-01-22,norkjemi.no
87,norkred.no,985387281,NORKRED AS,2003-02-13,norkred.no
88,norlense.no,887391092,NORLENSE BEREDSKAP AS,2004-10-23,norlense.no
89,norlett.no,958692064,NORLETT SERVICE AS,1995-02-19,norlett.no
90,norlink.no,967174092,NORLINK AS,1995-02-20,norlink.no
91,norlux.no,963116217,NORLUX AS,1995-02-20,norlux.no
92,normaer.no,858097002,NOR-MÆR AS,1995-02-19,normaer.no
93,normeca.no,934111931,NORMECA AS,1995-03-12,normeca.no
94,normisjonost.no,970353739,NORMISJON REGION ØST,1995-02-20,normisjonost.no
95,norneshuset.no,971347643,NORNESHUSET V/BERIT NORNES,1995-02-20,norneshuset.no
96,norod.no,912646769,NOROD - NORSK RESSURSGRUPPE FOR ORGANDONASJON,2013-11-04,norod.no
97,noronline.no,892182442,NORONLINE DA,2008-02-12,noronline.no
98,norpalm.no,976957105,NORPALM AS,1996-12-04,norpalm.no
99,norpartner.no,891054092,NORPARTNER GRUPPEN AS,2007-04-03,norpartner.no
100,norplay.no,991530320,NORPLAY BREDE JOHANNES KARLSEN,2007-08-09,norplay.no
101,norplay.no,999541240,NORPLAY AS,2013-01-17,norplay.no
102,norplex.no,895635472,NORPLEX AS,2010-06-17,norplex.no
103,nors-online.no,913159225,NORSK OPERASJONSANALYSEFORENING,2014-05-02,nors-online.no
104,norsand.no,924590300,AS NORSAND,1995-02-19,norsand.no
105,norsecraftgeo.no,995460092,NORSECRAFT GEO AS,2010-05-07,norsecraftgeo.no
106,norseoffshore.no,882106012,NORSE OFFSHORE AS,2000-06-19,norseoffshore.no
107,norservice.no,917393222,NORSERVICE HOLDING AS,1995-02-19,norservice.no
108,norsirk.no,919041579,ELRETUR AS,2017-06-01,norsirk.no
109,norsirk.no,979736355,NORSIRK AS,1998-04-20,norsirk.no
110,norsjo-ferieland.no,943634645,NORSJØ FERIELAND AS,1995-02-19,norsjo-ferieland.no
111,norsk-bergverksmuseum.no,977113490,NORSK BERGVERKSMUSEUM,1997-02-23,norsk-bergverksmuseum.no
112,norsk-brukshundsport.no,991058885,NORSK BRUKSHUNDSPORTS FORBUND,2007-04-12,norsk-brukshundsport.no
113,norsk-dampselskap.no,997817877,NORSK DAMPSELSKAP,2012-02-15,norsk-dampselskap.no
114,norsk-fartoyvern.no,965906746,NORSK FORENING FOR FARTØYVERN,1995-02-20,norsk-fartoyvern.no
115,norsk-fletteri.no,934962419,NORSK FLETTERI AS,1995-03-12,norsk-fletteri.no
116,norsk-koreansk.no,994715933,NORSK-KOREANSK VENNSKAPSFORENING NORWEGIAN-KOREAN FRIENDSHIP ASSOCIATION,2009-12-07,norsk-koreansk.no
117,norsk-kunstglass.no,991074406,NORSK KUNSTGLASS Tone Stensrud,2007-04-17,norsk-kunstglass.no
118,norsk-sentrumsutvikling.no,996767817,NORSK SENTRUMSUTVIKLING,2011-05-21,norsk-sentrumsutvikling.no
