;Domain_Name;Org_Number;Company;Reg_Date;Website
3;anker.oslo.no;966891750;STIFTELSEN ANKER STUDENTBOLIGER OG HOTEL (ANKER STI);1995-02-20;anker.oslo.no
4;kyrkja.tokke.no;976991907;EIDSBORG, MO OG SKAFSÅ SOKN;1997-01-27;kyrkja.tokke.no
8;nordkraft.no;928657213;NORDKRAFT MAGASIN AS;1995-03-12;nordkraft.no
21;nordlaendingernes-forening.no;983712673;PETTER DASS' OG FREDRIKKE TØNDER- OLSENS STIPENDIEFOND;1997-02-22;nordlaendingernes-forening.no
26;nordnesgruppen.no;979397720;NORDNES AS;1997-12-10;nordnesgruppen.no
29;nordstrand-osteopati.no;981839285;NORDSTRAND OSTEOPATIKLINIKK Ørjan Lindås;2000-04-12;nordstrand-osteopati.no
31;nordvik.no;946549770;NORDVIK AS;1995-02-19;nordvik.no
32;nored.no;971278323;NORSK REDAKTØRFORENING;1995-02-20;nored.no
35;noredu.no;996176150;NORLIGHTS MONTESSORIBARNEHAGE DRAMMEN AS;2010-11-22;noredu.no
36;norefjell-golf.no;979159420;NOREFJELL GOLFBANE AS;1996-10-11;norefjell-golf.no
39;norgesfor.no;975871096;OTTADALEN MØLLE SA;1995-02-19;norgesfor.no
40;norplay.no;991530320;NORPLAY BREDE JOHANNES KARLSEN;2007-08-09;norplay.no
43;norsirk.no;979736355;NORSIRK AS;1998-04-20;norsirk.no
45;norske-redningshunder.no;994888455;NORSKE REDNINGSHUNDER SOGN OG FJORDANE DISTRIKT;2009-01-14;norske-redningshunder.no
48;norskedansekunstnere.no;971480203;NORSKE DANSEKUNSTNERE FORBUNDET FOR DANSERE KOREOGRAFER OG PEDAGOGER;1995-02-20;norskedansekunstnere.no
49;norskegrafikeresverksted.no;990497451;FORENINGEN NORSKE GRAFIKERES VERKSTED;2006-11-15;norskegrafikeresverksted.no
52;norskehus.no;976960823;NORSKE HUS BOLIGSYSTEM AS;1996-12-05;norskehus.no
53;norskekunsthandverkere.no;971278153;NORSKE KUNSTHÅNDVERKERE;1995-02-20;norskekunsthandverkere.no
57;norskfolkemuseum.no;970010815;NORSK FOLKEMUSEUM;1995-02-20;norskfolkemuseum.no
58;norskindustri.no;955600436;TEKOS KOMPETANSE- OG UTVIKLINGSFOND;1995-02-20;norskindustri.no
62;norskregnskap.no;952584006;NORSK REGNSKAP OSLO AS;1995-02-19;norskregnskap.no
65;norsvin.no;956971322;NORSVIN SA;1995-02-19;norsvin.no
66;orkester.no;971518693;DE UNGES ORKESTERFORBUND;1995-02-20;orkester.no
69;pol.oslo.no;986145168;POL HOLDING AS;2013-10-17;pol.oslo.no
72;promenadenmanagement.no;987993502;NEDRE SLOTTSGT 23 NÆRING AS;1998-02-02;promenadenmanagement.no
77;proplan.no;N.LEG.000003975;PROPLAN UTVIKLING AS;1995-02-20;proplan.no
81;prostatakreft.no;987509791;PROFO NORDMØRE OG ROMSDAL;2005-04-09;prostatakreft.no
83;protector.no;979640366;PROTECTOR AS;1998-02-24;protector.no
84;proventure.no;989765191;PROVENTURE MANAGEMENT AS;2006-05-03;proventure.no
87;psoriasis.no;984069731;PSORIASIS OG EKSEMFORBUNDET , BODØ OG OMENG;2003-06-05;psoriasis.no
90;psykia.no;990000115;PSYKIA AS;2006-07-12;psykia.no
92;psykologbehandling.no;996765806;NORSK SENTER FOR SKJEMATERAPI DA;2011-08-05;psykologbehandling.no
95;publicom.no;980913740;PUBLICOM AS;1999-08-11;publicom.no
97;redcross.no;864139442;LYNGDAL RØDE KORS;1995-02-20;redcross.no
101;regnskapnorge.no;871278342;REGNSKAP NORGE;1995-02-20;regnskapnorge.no
105;reinhartsen.no;995963175;REINHARTSEN DELIKATESSE AS;2002-01-24;reinhartsen.no
108;reinli.no;978614876;SØR-VALDRES UTVIKLING BA;2002-07-24;reinli.no
110;reisegnister.no;990802572;REISEGNISTER.NO Monique van Dijk Seppola;2007-02-03;reisegnister.no
113;rejlers.no;993884871;EMBRIQ AS;2013-05-29;rejlers.no
115;shengzhen.no;984370199;INTERNATIONAL SHENG ZHEN SOCIETY NORGE;2002-04-17;shengzhen.no
117;shipnet.no;968111337;ShipNet AS;1995-02-20;shipnet.no
118;showlab.no;913186923;SHOWLAB AS;2014-02-12;showlab.no
121;shuffleboard.no;998816912;NORGES SHUFFLEBOARD FORBUND;2012-09-19;shuffleboard.no
123;sia.no;950437537;STUDENTSAMSKIPNADEN I AGDER;1995-03-12;sia.no
125;sibe.no;994637282;SIKKER BEMANNING AS;2009-10-14;sibe.no
126;sigdalkirke.no;976990110;SIGDAL KIRKELIGE FELLESRÅD;1997-01-27;sigdalkirke.no
130;signaturklinikken.no;914861500;SIGNATURKLINIKKEN AS;2015-01-29;signaturklinikken.no
137;sikirken.no;911951339;SØR-INNHERAD KIRKELIGE FELLESRÅD;1997-01-27;sikirken.no
141;siv.no;983975259;SYKEHUSET I VESTFOLD HF;2001-12-19;siv.no
144;sjakk.no;971286474;NORGES SJAKKFORBUND;1995-02-20;sjakk.no
146;sjamanforbundet.no;813680602;SJAMANISTISK FORBUND OSLO OG VIKEN;2014-05-27;sjamanforbundet.no
149;sjemmedal.no;985445583;SJEMMEDALHYTTA AS;2003-03-01;sjemmedal.no
151;sjomatnorge.no;974461021;SJØMAT NORGE;1995-05-30;sjomatnorge.no
152;sjooff.no;974266997;NORSK SJØOFFISERSFORBUND;1995-03-12;sjooff.no
156;sjoparken.no;987549432;AGNES UTVIKLING AS;2004-12-15;sjoparken.no
159;skaaret.no;970983295;SKAARET LANDSKAP AS;1995-02-20;skaaret.no
160;skagerak-trepleie.no;970556362;PEDER AARØ;1995-02-20;skagerak-trepleie.no
162;skarsnutenhotel.no;986181350;SKARSNUTEN HOTELL AS;2003-10-27;skarsnutenhotel.no
164;skarvhytta.no;984635974;INGAR DALEN AS;2002-06-28;skarvhytta.no
167;skb.no;863670292;STIFTELSEN KAARE BERG;1995-03-12;skb.no
170;skedsmoskolekorps.no;971267003;SKEDSMO SKOLEKORPS;1995-02-20;skedsmoskolekorps.no
174;skeiendom.no;981135792;Sydness & Kjærnes Eiendom AS;1995-02-20;skeiendom.no
176;skeivungdom.no;987184086;SKEIV UNGDOM;2004-11-09;skeivungdom.no
179;skgemballasje.no;981009096;SKG EMBALLASJE DA;1999-08-24;skgemballasje.no
181;skibsgaarden.no;880351702;Skibsgården Senterdrift AS;1995-02-20;skibsgaarden.no
182;skiel.no;946067105;SKI ELEKTRISKE AS;1995-02-19;skiel.no
185;skienfritidspark.no;990522839;SKIEN FRITIDSPARK KF;2006-12-12;skienfritidspark.no
186;skigk.no;980947211;Ski Golfklubb;1996-03-26;skigk.no
190;skinnarbu.no;918858806;NEWCO SKINNARBU AS;1995-02-20;skinnarbu.no
191;skipavika.no;993450588;BYRKNES SERVICESENTER AS;2012-04-23;skipavika.no
193;skjeloyslipp.no;987431865;SKJÆLØY SLIPP AS;2004-11-01;skjeloyslipp.no
196;skjerviken.no;986368094;SKJERVIKEN RØR AS;2004-01-08;skjerviken.no
198;skogli.no;980973549;SKOGLI HELSE OG REHABILITERINGSSENTER AS;1999-08-31;skogli.no
199;skogmus.no;970964002;NORSK SKOGMUSEUM;1995-03-12;skogmus.no
203;skosenteret.no;957946526;SKOSENTERET AS;1995-02-19;skosenteret.no
204;skotvedt.no;960922956;RISUS AS;1995-03-12;skotvedt.no
206;sks.no;985592128;SALTEN KRAFTSAMBAND AS;1995-03-12;sks.no
208;skuespillerforbund.no;871096422;Norsk Skuespillerforbund;1997-02-24;skuespillerforbund.no
211;slag.no;985733260;LANDSFORENINGEN FOR SLAGRAMMEDE AVD TELEMARK;2003-07-26;slag.no
213;slatlem.no;898855562;SLATLEM HOLDING AS;1995-02-19;slatlem.no
216;smabrukarlaget.no;970167943;Norsk Bonde- og Småbrukarlag;1995-02-20;smabrukarlaget.no
218;smakavitalia.no;993037389;SMAK AV ITALIA Cristiano Comelli;2008-09-01;smakavitalia.no
221;smalde.no;962503810;Svein Malde;2003-08-01;smalde.no
223;smartgridservices.no;984423837;NEXTCON AS;2014-09-25;smartgridservices.no
227;smco.no;990781451;ADVOKATFIRMAET MELING AS;2007-01-24;smco.no
228;smietorget.no;937811764;HADELAND EIENDOMSUTVIKLING AS;1995-02-20;smietorget.no
232;smihuset.no;995323818;SMIHUSET AS;2008-01-28;smihuset.no
233;snolys.no;919307692;SNØLYS DESIGN AS;2010-10-28;snolys.no
236;snsk.no;916300395;Store Norske Spitsbergen Kulkompani AS;1995-03-12;snsk.no
237;sobbl.no;848720712;SARPSBORG OG OMEGNS BOLIGBYGGELAG;1995-02-19;sobbl.no
243;soeiendom.no;994931369;STOR-OSLO EIENDOM AS;1998-05-26;soeiendom.no
245;sognekraft.no;916069634;Sognekraft AS;2007-01-04;sognekraft.no
248;solid.no;977265525;Solid Entreprenør As;1995-03-12;solid.no
254;soloneiendom.no;990578532;SOLON EIENDOM AS;1995-02-19;soloneiendom.no
260;solvtrans.no;961360560;SØLVTRANS AS;1995-02-20;solvtrans.no
264;soongolf.no;990298084;SOON GOLFKLUBB;2006-01-31;soongolf.no
267;soppognyttevekster.no;940593336;NORGES SOPP- OG NYTTEVEKSTFORBUND;1995-02-20;soppognyttevekster.no
269;sorenga.no;985627134;HAV EIENDOM AS;2007-11-09;sorenga.no
275;sorlandsadvokatene.no;885722512;SØRLANDSADVOKATENE DA;1995-02-19;sorlandsadvokatene.no
277;sorlandsbadet.no;988417106;SØRLANDSBADET AS;2005-07-05;sorlandsbadet.no
279;sorlie.no;989022105;SØRLIE OG SØRLIE AS;1995-02-19;sorlie.no
287;soroptimistnorway.no;984881185;SOROPTIMIST INTERNATIONAL NORGESUNIONEN;2002-10-29;soroptimistnorway.no
299;sos-barnebyer.no;947571958;SOS-BARNEBYER NORGE STIFTELSEN;2009-02-26;sos-barnebyer.no
312;sos-rasisme.no;815331052;AKTIVISTSERVER;2005-04-23;sos-rasisme.no
328;teambygg.no;967592196;TEAM BYGG AS;1995-02-20;teambygg.no
330;telehuset.no;974397986;TELERING AS;1995-02-19;telehuset.no
338;telepensjonistene.no;977504627;TELEPENSJONISTENES LANDSFORBUND;1997-05-05;telepensjonistene.no
342;televenture.no;889988312;TELEVENTURE CAPITAL AS;2011-01-11;televenture.no
349;temaeiendom.no;910854887;TEMA EIENDOM AS;2000-01-19;temaeiendom.no
352;tent.no;882912272;TENT AS;2001-02-27;tent.no
355;teppeland.no;985094195;TEPPELAND HØVIK AS;2002-11-21;teppeland.no
356;tertnes.no;971349638;TERTNES HÅNDBALL ELITE;1999-12-07;tertnes.no
360;tess.no;982398940;TESS-HUSET AS;2000-03-02;tess.no
364;tf.no;933644154;TRANSPORT-FORMIDLINGEN SA;1995-02-19;tf.no
365;theapartmentscompany.no;898594882;NORWEGIAN APARTMENTS AS;2012-07-07;theapartmentscompany.no
367;thema.no;895144932;THEMA CONSULTING GROUP AS;2009-12-26;thema.no
369;thermtech.no;984301677;THERMTECH AS;1995-03-12;thermtech.no
372;this.no;886847262;STIFTELSEN TRONDHEIM INTERNATIONAL SCHOOL;2004-05-05;this.no
374;thomasangell.no;938662843;THOMAS ANGELLS STIFTELSER;1995-03-12;thomasangell.no
