,Domain_Name,Org_Number,Company,Reg_Date,Website
380,thune.no,933312402,N M Thune AS,1995-02-19,thune.no
485,vbbl.no,941262120,"MØLLEBYEN PARK, BRL",1995-02-19,vbbl.no
1012,vestbo.no,951797308,FAGERLIEN BORETTSLAG,1995-02-19,vestbo.no
182,skiel.no,946067105,SKI ELEKTRISKE AS,1995-02-19,skiel.no
275,sorlandsadvokatene.no,950959932,ADVOKAT PER OVE TØNNESSEN,1995-02-19,sorlandsadvokatene.no
237,sobbl.no,930429724,BOLIGSELSKAPET OSKARSGATE 14 OG 16 AS,1995-02-19,sobbl.no
330,telehuset.no,958100132,TELE OG DATASERVICE AS,1995-02-19,telehuset.no
254,soloneiendom.no,941460429,SOLON SØRVEST AS,1995-02-19,soloneiendom.no
279,sorlie.no,929115384,GLOMMEN BRYGGE AS,1995-02-19,sorlie.no
203,skosenteret.no,957946526,SKOSENTERET AS,1995-02-19,skosenteret.no
213,slatlem.no,931564285,SLATLEM GRUPPEN AS,1995-02-19,slatlem.no
413,torsbygg.no,858595312,TORSBYGG AS,1995-02-19,torsbygg.no
409,torghatten.no,916819927,TORGHATTEN AS,1995-02-19,torghatten.no
404,tonje.no,945072725,TONJE STOFF & SYMASKINER AS,1995-02-19,tonje.no
401,tommen.no,912038084,BEWI BUILDING & INDUSTRY AS,1995-02-19,tommen.no
399,tombre.no,871596832,FJORD DRIFT AS,1995-02-19,tombre.no
364,tf.no,933644154,TRANSPORT-FORMIDLINGEN SA,1995-02-19,tf.no
39,norgesfor.no,913980484,OTTADALEN MØLLE SA,1995-02-19,norgesfor.no
62,norskregnskap.no,952584006,NORSK REGNSKAP OSLO AS,1995-02-19,norskregnskap.no
31,nordvik.no,946549770,NORDVIK AS,1995-02-19,nordvik.no
65,norsvin.no,956971322,NORSVIN SA,1995-02-19,norsvin.no
626,vestaksen.no,811576662,VESTAKSEN SENTRUM AS,1995-02-19,vestaksen.no
622,vestagdermuseet.no,915873537,AS SJØLINGSTAD ULDVAREFABRIK,1995-02-19,vestagdermuseet.no
618,vest-telemark.no,929212207,VEST-TELEMARK NÆRINGSBYGG AS,1995-02-19,vest-telemark.no
328,teambygg.no,967592196,TEAM BYGG AS,1995-02-20,teambygg.no
604,verdensbarn.no,970134891,VERDENS BARN,1995-02-20,verdensbarn.no
260,solvtrans.no,961360560,SØLVTRANS AS,1995-02-20,solvtrans.no
216,smabrukarlaget.no,871310572,BUSKERUD BONDE- OG SMÅBRUKARLAG,1995-02-20,smabrukarlaget.no
190,skinnarbu.no,966148284,SKINNARBU EIENDOM AS,1995-02-20,skinnarbu.no
1080,vesthelse.no,971491604,KIROPRAKTOR ARNDT JAHR GRØNSTVEDT,1995-02-20,vesthelse.no
77,proplan.no,966786094,PROPLAN UTVIKLING AS,1995-02-20,proplan.no
144,sjakk.no,971286474,NORGES SJAKKFORBUND,1995-02-20,sjakk.no
48,norskedansekunstnere.no,971480203,NORSKE DANSEKUNSTNERE FORBUNDET FOR DANSERE KOREOGRAFER OG PEDAGOGER,1995-02-20,norskedansekunstnere.no
159,skaaret.no,970983295,SKAARET LANDSKAP AS,1995-02-20,skaaret.no
170,skedsmoskolekorps.no,971267003,SKEDSMO SKOLEKORPS,1995-02-20,skedsmoskolekorps.no
32,nored.no,971278323,NORSK REDAKTØRFORENING,1995-02-20,nored.no
97,redcross.no,971461268,LYNGDAL RØDE KORS,1995-02-20,redcross.no
101,regnskapnorge.no,871278342,REGNSKAP NORGE,1995-02-20,regnskapnorge.no
174,skeiendom.no,971268050,SAMEIET A TIDEMANDSGT 20/22,1995-02-20,skeiendom.no
58,norskindustri.no,971433213,TEKOS KOMPETANSE- OG UTVIKLINGSFOND,1995-02-20,norskindustri.no
160,skagerak-trepleie.no,970556362,PEDER AARØ,1995-02-20,skagerak-trepleie.no
1085,vestvatn.no,971395354,MISVÆR IDRETTSLAG,1995-02-20,vestvatn.no
181,skibsgaarden.no,963768346,SKIBSGÅRDEN AS,1995-02-20,skibsgaarden.no
117,shipnet.no,968111337,INCHCAPE SHIPPING SERVICES (NORWAY) AS,1995-02-20,shipnet.no
267,soppognyttevekster.no,940593336,NORGES SOPP- OG NYTTEVEKSTFORBUND,1995-02-20,soppognyttevekster.no
228,smietorget.no,870432232,SMIETORGET MARKEDSFØRINGSFORENING,1995-02-20,smietorget.no
53,norskekunsthandverkere.no,971278153,NORSKE KUNSTHÅNDVERKERE,1995-02-20,norskekunsthandverkere.no
66,orkester.no,971518693,DE UNGES ORKESTERFORBUND,1995-02-20,orkester.no
3,anker.oslo.no,966891750,STIFTELSEN ANKER STUDENTBOLIGER OG HOTEL (ANKER STI),1995-02-20,anker.oslo.no
57,norskfolkemuseum.no,970010815,NORSK FOLKEMUSEUM,1995-02-20,norskfolkemuseum.no
369,thermtech.no,934076990,THERMTECH HOLDING AS,1995-03-12,thermtech.no
248,solid.no,911829169,AS FREDRIKSTAD STENHUGGERI,1995-03-12,solid.no
374,thomasangell.no,938662843,THOMAS ANGELLS STIFTELSER,1995-03-12,thomasangell.no
199,skogmus.no,970964002,NORSK SKOGMUSEUM,1995-03-12,skogmus.no
204,skotvedt.no,919534281,SKOTVEDT ASKER OG BÆRUM AS,1995-03-12,skotvedt.no
236,snsk.no,916300395,Store Norske Spitsbergen Kulkompani AS,1995-03-12,snsk.no
206,sks.no,915637353,SKS PRODUKSJON AS,1995-03-12,sks.no
123,sia.no,950437537,STUDENTSAMSKIPNADEN I AGDER,1995-03-12,sia.no
8,nordkraft.no,928657213,NORDKRAFT MAGASIN AS,1995-03-12,nordkraft.no
167,skb.no,915893902,SKB VEST AS,1995-03-12,skb.no
152,sjooff.no,974266997,NORSK SJØOFFISERSFORBUND,1995-03-12,sjooff.no
598,vef.no,963228074,VEF ENTREPRENØR AS,1995-03-12,vef.no
151,sjomatnorge.no,974461021,SJØMAT NORGE,1995-05-30,sjomatnorge.no
186,skigk.no,976233751,GOLFPROENE ANS,1996-03-26,skigk.no
36,norefjell-golf.no,976800354,NOREFJELL GOLFBANE AS,1996-10-11,norefjell-golf.no
52,norskehus.no,976960823,NORSKE HUS BOLIGSYSTEM AS,1996-12-05,norskehus.no
137,sikirken.no,976999355,VINNE SOKN,1997-01-27,sikirken.no
126,sigdalkirke.no,976990102,EGGEDAL SOKN,1997-01-27,sigdalkirke.no
384,time-kyrkja.no,976993616,TIME KYRKJELEGE FELLESRÅD,1997-01-27,time-kyrkja.no
4,kyrkja.tokke.no,976991893,"EIDSBORG, MO OG SKAFSÅ SOKN",1997-01-27,kyrkja.tokke.no
406,tonsbergtaxi.no,977199379,TØNSBERG TAXI AS,1997-01-31,tonsbergtaxi.no
611,verge.no,977225736,VERGE OPPLÆRING AS,1997-02-10,verge.no
21,nordlaendingernes-forening.no,943753075,PETTER DASS' OG FREDRIKKE TØNDER- OLSENS STIPENDIEFOND,1997-02-22,nordlaendingernes-forening.no
1089,vetnett.no,977140277,DEN NORSKE VETERINÆRFORENINGS HUMANITÆRE FOND,1997-02-24,vetnett.no
