,Domain_Name,Org_Number,Company,Reg_Date,Website
183,skiel.no,948248638,Ski Elektriske Installasjon A/S,1995-02-19,skiel.no
76,proplan.no,959472823,PROPLAN AS,1995-02-20,proplan.no
59,norskindustri.no,952151266,NORSK INDUSTRI,1995-02-20,norskindustri.no
215,smabrukarlaget.no,974237644,HEDMARK BONDE OG SMÅBRUKARLAG,1995-03-12,smabrukarlaget.no
403,tonje.no,852229772,TONJE - WEST DESIGN AS,1995-03-12,tonje.no
38,norgesfor.no,975871096,NORGESFÔR AS,1995-11-13,norgesfor.no
116,shipnet.no,976567897,BRILLIAN GROUP AS,1996-07-08,shipnet.no
400,tommen.no,977051444,TOMMEN GRAM HOLDING AS,1996-12-31,tommen.no
128,sigdalkirke.no,976990110,SIGDAL KIRKELIGE FELLESRÅD,1997-01-27,sigdalkirke.no
139,sikirken.no,976999320,ÅSEN SOKN,1997-01-27,sikirken.no
6,kyrkja.tokke.no,976991907,TOKKE KYRKJELEGE FELLESRÅD,1997-01-27,kyrkja.tokke.no
200,skogmus.no,977116899,STIFTELSEN FELLESFORBUNDETS TRE- FOREDLINGSFOND,1997-02-22,skogmus.no
398,tombre.no,978623859,SAMLAKS AS,1997-06-12,tombre.no
37,norefjell-golf.no,979159420,NOREFJELL GOLFKLUBB,1997-08-25,norefjell-golf.no
180,skibsgaarden.no,880351702,SKIBSGÅRDEN SENTERDRIFT AS,1998-12-21,skibsgaarden.no
67,orkester.no,979537883,DE UNGES ORKESTERFORBUND NORD-NORGE,1999-02-17,orkester.no
161,skagerak-trepleie.no,980605876,SKAGERAK TREPLEIE HERMAN TÆRUD,1999-03-25,skagerak-trepleie.no
197,skogli.no,980973557,SKOGLI EIENDOM AS,1999-08-31,skogli.no
187,skigk.no,980947211,SKI GOLFKLUBB,1999-09-27,skigk.no
358,tertnes.no,981916026,TERTNES HÅNDBALL,2000-05-26,tertnes.no
30,nordvik.no,981921143,GLOMFJORD VERKSTEDBYGG AS,2000-07-17,nordvik.no
329,teambygg.no,983069452,TEAM BYGG PROSJEKT AS,2001-03-22,teambygg.no
63,norsvin.no,983568823,GENINOVA AS,2001-08-04,norsvin.no
388,tinnenergi.no,983771408,TINN ENERGI PRODUKSJON AS,2001-10-27,tinnenergi.no
20,nordlaendingernes-forening.no,983712673,NORDLÆNDINGERNES FORENING,2001-11-07,nordlaendingernes-forening.no
376,thorsengruppen.no,984060017,THORSEN KONTORSYSTEMER AS,2002-01-10,thorsengruppen.no
235,snsk.no,984015097,STORE NORSKE SPITSBERGEN GRUBEKOMPANI AS,2002-01-17,snsk.no
370,thermtech.no,984301677,THERMTECH AS,2002-03-16,thermtech.no
383,time-kyrkja.no,984358849,UNDHEIM SOKN,2002-03-22,time-kyrkja.no
150,sjomatnorge.no,984155492,SJØMAT NORGES SERVICEKONTOR,2002-04-03,sjomatnorge.no
158,skaaret.no,984807945,BLAKSTADMARKA 26 AS,2002-09-03,skaaret.no
172,skeiendom.no,984789971,SAMEIET GLÜCKSTADSGT 5,2002-09-11,skeiendom.no
100,regnskapnorge.no,985196087,REGNSKAP NORGE AS,2002-12-21,regnskapnorge.no
207,sks.no,985592128,SALTEN KRAFTSAMBAND AS,2003-05-08,sks.no
163,skarsnutenhotel.no,986181342,SKARSNUTEN HOTELLDRIFT AS,2003-10-27,skarsnutenhotel.no
82,protector.no,986581332,CONSOLVO EIENDOM AS,2004-02-18,protector.no
410,torghatten.no,887378002,MARITIME VENTURE AS,2004-10-23,torghatten.no
397,tollkonsult.no,987690232,TOLLKONSULT AS,2005-01-06,tollkonsult.no
363,tf.no,987997699,TF EIENDOM AS,2005-03-17,tf.no
94,publicom.no,988988448,PUBLICOM HOLDING AS,2006-01-09,publicom.no
249,solid.no,989189891,SOLID GRUPPEN AS,2006-01-10,solid.no
612,verge.no,989392395,VERGE GRUPPEN AS,2006-01-28,verge.no
220,smalde.no,989202502,MALDE REVISJON & RÅDGIVNING ANS,2006-02-09,smalde.no
195,skjerviken.no,989276700,SKJERVIKEN AS,2006-02-16,skjerviken.no
411,torpomoen.no,989503154,TORPOMOEN DRIFT AS,2006-04-03,torpomoen.no
28,nordstrand-osteopati.no,989837842,FRAUKE LINDÅS NORDSTRAND OSTEPATIKLINIKK,2006-06-01,nordstrand-osteopati.no
621,vestagdermuseet.no,989072048,VEST-AGDER-MUSEET IKS,2006-07-25,vestagdermuseet.no
416,torsbygg.no,990149607,TB. INVEST AS,2006-08-18,torsbygg.no
255,soloneiendom.no,990538794,SØNSTERUDVEIEN 30 AS,2006-11-29,soloneiendom.no
405,tonsbergtaxi.no,991722645,TAXI Z-256 TAHA AHMED QADORI,2007-10-01,tonsbergtaxi.no
55,norskekunsthandverkere.no,991677682,NORSKE KUNSTHÅNDVERKERE VIKEN,2007-10-03,norskekunsthandverkere.no
268,sorenga.no,991925740,SØRENGA UTVIKLING AS,2007-11-09,sorenga.no
276,sorlandsbadet.no,992109629,NÆSS FYSIKALSKE,2008-01-04,sorlandsbadet.no
331,telehuset.no,992129824,MOBILTEK AS,2008-01-07,telehuset.no
178,skgemballasje.no,992475277,SKG EMBALLASJE AS,2008-03-31,skgemballasje.no
122,sia.no,992697601,SIA B.I.L,2008-05-23,sia.no
391,tms.no,993041076,FAMILIETERAPEUT LILLIAN KALLASTEN,2008-10-08,tms.no
96,redcross.no,993527572,GJØVIK RØDE KORS,2009-01-14,redcross.no
60,norskregnskap.no,993559342,SAGA PARK SAMEIE,2009-01-28,norskregnskap.no
46,norske-redningshunder.no,993612316,NORSKE REDNINGSHUNDER VESTERÅLEN LOKALLAG,2009-03-11,norske-redningshunder.no
114,shengzhen.no,994042270,SHENG ZHEN QIGONG-Birgit Torkehagen,2009-05-04,shengzhen.no
184,skienfritidspark.no,993551317,SKIEN FRITIDSPARK KF BEDRIFTSIDRETTSLAG,2009-08-26,skienfritidspark.no
219,smakavitalia.no,994465406,SMAK AV ITALIA AS,2009-09-09,smakavitalia.no
407,torghatten-nord.no,994812653,TORGHATTEN DRIFT AS,2009-11-25,torghatten-nord.no
88,psoriasis.no,994848100,PSORIASIS- OG EKSEMFORBUNDET NAMDAL,2009-12-12,psoriasis.no
111,reisegnister.no,994895079,REISEGNISTER AS,2009-12-15,reisegnister.no
154,sjoparken.no,994853643,AGNES 1 AS,2009-12-18,sjoparken.no
148,sjemmedal.no,994968483,SJEMMEDAL EIENDOM AS,2010-01-09,sjemmedal.no
610,verdi-eiendom.no,994691805,VERDI EIENDOMSMEGLINGS FOND,2010-01-18,verdi-eiendom.no
368,thema.no,895144932,THEMA CONSULTING GROUP AS,2010-02-08,thema.no
231,smihuset.no,995323818,SMIHUSET AS,2010-03-23,smihuset.no
394,tollerodden.no,995638819,TOLLERODDENS VENNER,2010-06-22,tollerodden.no
56,norskfolkemuseum.no,995716496,NORSK FARMASIHISTORISK MUSEUM,2010-07-27,norskfolkemuseum.no
603,velnett.no,995771039,HOVENGA OG OMEGN VELFORENING,2010-07-31,velnett.no
418,torvmoen.no,995856492,TORVMOEN VELFORENING,2010-09-02,torvmoen.no
50,norskegrafikeresverksted.no,995935457,STAMPA CANTABILE Marianne Gihle,2010-10-11,norskegrafikeresverksted.no
1,anker.oslo.no,896203452,KØBENHAVNGATA 10 AS,2010-11-18,anker.oslo.no
266,soppognyttevekster.no,996514501,GRENLAND SOPPFORENING,2011-02-07,soppognyttevekster.no
379,thune.no,996661725,GULLGRUVEN SHAD AS,2011-03-07,thune.no
353,teppeland.no,897131072,TEPPELAND AS,2011-07-11,teppeland.no
390,tlh.no,997136551,TRONDHEIM LEILIGHETSHOTELL AS,2011-07-14,tlh.no
209,skuespillerforbund.no,996991873,KIM-DANIEL SANNES,2011-07-30,skuespillerforbund.no
318,sos-rasisme.no,997372689,TROMS SOS RASISME,2011-10-01,sos-rasisme.no
194,skjeloyslipp.no,997538196,SKJÆLØY BRYGGESELSKAP AS,2011-11-01,skjeloyslipp.no
33,nored.no,997706714,VESTAFJELSKE REDAKTØRFORENING,2011-12-21,nored.no
34,noredu.no,998191459,NORLIGHTS INTERNATIONAL SCHOOL OSLO AS,2012-04-02,noredu.no
169,skedsmoskolekorps.no,998495660,SKEDSMO DRILL,2012-06-14,skedsmoskolekorps.no
617,vest-telemark.no,998681278,VEST-TELEMARK NÆRINGSPARK AS,2012-08-07,vest-telemark.no
230,smietorget.no,998682886,SMIETORGET BUTIKKDRIFT AS,2012-08-08,smietorget.no
142,siv.no,998523494,FELLESLEGATET TIL SYKEHUSET I VESTFOLD HF,2012-08-14,siv.no
210,slag.no,998709202,LANDSFORENINGEN FOR SLAGRAMMEDE AGDER (LFS AGDER),2012-09-04,slag.no
239,sobbl.no,997510712,RÅDALEN BOLIGSAMEIE II,2012-09-24,sobbl.no
41,norplay.no,999541240,NORPLAY AS,2013-01-17,norplay.no
214,slatlem.no,999552471,SLATLEM KRISTIANSUND AS,2013-01-19,slatlem.no
1090,vetnett.no,811641642,VESTENFJELDSKE VETERINÆRFORENING,2013-03-04,vetnett.no
1082,vesthelse.no,911851210,JOHANNA LARSÈN AS,2013-04-22,vesthelse.no
