,Domain_Name,Org_Number,Company,Reg_Date,Website
381,autoforum.sf.no,959167915,AUTO 8-8 FORUM AS,1995-02-20,autoforum.sf.no
223,cas.oslo.no,971543671,SENTER FOR GRUNNFORSKNING VED DET NORSKE VIDENSKAPS-AKADEMI,1995-02-20,cas.oslo.no
1,kirken.nordkapp.no,977001706,NORDKAPP SOKN,1997-01-27,kirken.nordkapp.no
849,kirken.sor-fron.no,976988922,SØR-FRON SOKN,1997-01-27,kirken.sor-fron.no
0,nordix.no,864133312,NORDIX DATA AS,1995-02-19,nordix.no
2,nordkapp-boats.no,958204434,FRYDENBØ BOATS AS,1995-02-19,nordkapp-boats.no
3,nordkappauto.no,979703090,NORDKAPP AUTO AS,1998-03-24,nordkappauto.no
4,nordkappcamping.no,954824209,NORDKAPP CAMPING AS,1995-02-19,nordkappcamping.no
5,nordkappcaravancamp.no,974387905,NORDKAPP CARAVANCAMP AS,1995-03-31,nordkappcaravancamp.no
6,nordkkk.no,990545359,NORD KANO OG KAJAKK KLUBB,2006-12-14,nordkkk.no
7,nordkontakt.no,946951323,NORDKONTAKT AS,1995-03-12,nordkontakt.no
21,nordkynvekst.no,976261356,NORDKYN VEKST AS,1996-04-09,nordkynvekst.no
24,nordland-akademi.no,971477687,STIFTELSEN NORDLAND AKADEMI FOR KUNST OG VITENSKAP,1995-03-12,nordland-akademi.no
25,nordlandet.no,983256325,IL NORDLANDET,2001-12-15,nordlandet.no
26,nordlandsforskning.no,871483752,STIFTELSEN NORDLANDSFORSKNING,1995-02-20,nordlandsforskning.no
27,nordlandsnaturen.no,987715170,STIFTELSEN NORDLAND NASJONALPARKSENTER,2005-04-11,nordlandsnaturen.no
28,nordlandssykehuset.no,983974910,NORDLANDSSYKEHUSET HF,2001-12-21,nordlandssykehuset.no
29,nordlandturselskap.no,925408735,NORDLAND TURSELSKAP AS,2020-08-18,nordlandturselskap.no
30,nordlidata.no,992136294,NORDLIDATA,2008-01-21,nordlidata.no
31,nordlysfestivalen.no,954830098,NORDLYSFESTIVALEN TROMSØ,1995-02-19,nordlysfestivalen.no
32,nordnes-bataillon.no,983559557,NORDNÆS BATAILLON,2001-10-02,nordnes-bataillon.no
39,nordocks.no,979555865,NORDOCKS AS,1998-01-27,nordocks.no
40,nordosterdalsmuseet.no,971445726,NORDØSTERDALSMUSEET,1995-02-20,nordosterdalsmuseet.no
41,nordrelandregnskap.no,934206061,NORDRE LAND REGNSKAP SA,1995-03-12,nordrelandregnskap.no
42,nordrevann.no,961728487,NORDRE AVERØY VANNVERK SA,1995-02-20,nordrevann.no
43,nordrill.no,985722323,NORDRILL AS,2003-05-26,nordrill.no
44,nordsaltenmc.no,986211071,NORD-SALTEN MC KLUBB,2003-11-11,nordsaltenmc.no
45,nordsjorittet.no,983991203,NORDSJØRITTET,2005-10-24,nordsjorittet.no
46,nordsjovegen.no,979861133,NORDSJØVEGEN,1999-11-09,nordsjovegen.no
49,nordstrandbygg.no,992836407,NORDSTRAND BYGG1 AS,2008-06-28,nordstrandbygg.no
50,nordstrandkulturskole.no,990342555,NORDSTRAND KULTURSKOLE AS,2006-10-10,nordstrandkulturskole.no
51,nordtolk.no,912321762,NORD TOLK AS,2013-08-19,nordtolk.no
52,nordtromsfuglehundklubb.no,997934660,NORD TROMS FUGLEHUNDKLUBB,2012-02-09,nordtromsfuglehundklubb.no
53,nordvestvinduet.no,910930540,NORDVESTVINDUET AS,1995-02-19,nordvestvinduet.no
56,nordvik-ikt.no,989816810,NORDVIK-IKT,2006-05-13,nordvik-ikt.no
57,norecopa.no,992199199,NORECOPA,2008-01-19,norecopa.no
64,noremi.no,998795559,NOREMI SPRÅKTJENESTER EMILIJUS ATMINAS,2012-09-06,noremi.no
